Campaign,Ad group,Keyword,Match type,Status,Max CPC,Final URL,Intent,Wave
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,AutoACV | Evaluation,auto acv alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv reviews,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv pricing,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv cost,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv competitors,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,1
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv alternative,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,AutoACV | Evaluation,auto acv reviews,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,AutoACV | Evaluation,switch from autoacv,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,total loss dot com alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com reviews,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com pricing,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com cost,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com competitors,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,totalloss.com alternative,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,total loss dot com reviews,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,TotalLoss.com | Evaluation,switch from totalloss.com,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totalloss_com_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,total loss appraiser net alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net reviews,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net pricing,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net cost,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net competitors,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,totallossappraiser.net alternative,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,total loss appraiser net reviews,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,TotalLossAppraiser.net | Evaluation,switch from totallossappraiser.net,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=totallossappraiser_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers reviews,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers pricing,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers cost,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers competitors,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers total loss,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers alternative,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers reviews,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,switch from dallas auto appraisers,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,1
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals alternative,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals reviews,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals pricing,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals cost,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals competitors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals total loss,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals alternative,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals reviews,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,switch from select auto appraisals,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors alternative,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors reviews,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors pricing,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors cost,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors competitors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors total loss,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors alternative,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors reviews,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,switch from collision claims advisors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,2

